source,entity_class,param_name,default_value,default_type,parameter_value_list,mod_line,description
mod,,_scale_obj_from_csv,0,,,597,
mod,,_scale_state_from_csv,0,,,599,
mod,,costs_discounted,0,,,608,
mod,,d_flow,0,,,2232,
mod,,d_flowInvest,0,,,2234,
mod,,d_flow_1_or_2_variable,0,,,2233,
mod,,d_obj,0,,,2231,
mod,,d_reserve_upDown_node,0,,,2235,
mod,,dq_reserve,0,,,2236,
mod,,model_co2,0,,,610,
mod,,p_branch_weight_input,1,,,561,
mod,,p_co2_cum_realized_tonnes,0,,,462,
mod,,p_commodity,0,,,417,
mod,,p_commodity_price_method,'price',,,420,
mod,,p_commodity_unitsize,1.0,,,421,
mod,,p_constraint_constant,0,,,503,
mod,,p_discount_years,0,,,536,
mod,,p_group,0,,,131,
mod,,p_hole_multiplier,1,,,521,
mod,,p_inflation_offset_investment,0,,,538,
mod,,p_inflation_offset_operations,0.5,,,539,
mod,,p_inflation_rate,0,,,537,
mod,,p_ladder_ann_price,0,,,434,
mod,,p_ladder_ann_quantity,1e30,,,435,
mod,,p_ladder_cum_price,0,,,428,
mod,,p_ladder_cum_quantity,1e30,,,429,
mod,,p_ladder_cum_realized_mwh,0,,,453,
mod,,p_ladder_cum_sim_hours,0,,,454,
mod,,p_max_flow_for_unconstrained_variables,1000000,,,540,
mod,,p_node,0,,,471,
mod,,p_node_type,'balance',,,188,
mod,,p_overlap,0,,,520,
mod,,p_process,0,,,498,
mod,,p_process_reserve_upDown_node,reserveParam_defaults[rp],,,496,
mod,,p_process_sink,0,,,479,
mod,,p_process_sink_flow_coefficient,1,,,484,
mod,,p_process_sink_max_capacity_coefficient,1,,,486,
mod,,p_process_sink_min_capacity_coefficient,1,,,488,
mod,,p_process_source,0,,,476,
mod,,p_process_source_flow_coefficient,1,,,483,
mod,,p_process_source_max_capacity_coefficient,1,,,485,
mod,,p_process_source_min_capacity_coefficient,1,,,487,
mod,,p_reserve_upDown_group,reserveParam_defaults[rp],,,494,
mod,,p_rp_cost_weight,1,,,532,
mod,,p_rp_weight,0,,,530,
mod,,p_use_row_scaling,0,,,527,
mod,,p_years_from_solve,0,,,535,
mod,,p_years_represented,1,,,534,
mod,,pbt_node,0,,,580,
mod,,pbt_node_inflow,0,,,581,
mod,,pbt_process,0,,,586,
mod,,pbt_process_sink,0,,,583,
mod,,pbt_process_source,0,,,582,
mod,,pbt_profile,0,,,584,
mod,,pbt_reserve_upDown_group,0,,,585,
mod,,pd_commodity,0,,,418,
mod,,pd_group,0,,,132,
mod,,pd_node,0,,,472,
mod,,pd_process,0,,,499,
mod,,pd_process_sink,0,,,481,
mod,,pd_process_source,0,,,478,
mod,,pt_commodity,0,,,419,
mod,,pt_group,0,,,133,
mod,,pt_node,0,,,473,
mod,,pt_node_inflow,0,,,474,
mod,,pt_process,0,,,500,
mod,,pt_process_sink,0,,,480,
mod,,pt_process_source,0,,,477,
schema,commodity,co2_content,,,emission,,[CO2 ton per MWh] Constant.
schema,commodity,price,,,basics,,"[CUR/MWh or other unit] Price of the commodity. Constant, period or time."
schema,commodity,price_ladder_annual,,,basics,,"Stepped supply curve for price_method='price_ladder_annual'.  Two forms accepted: 2d map with rows 'tier,price,quantity' applies the same per-year limit every period; 3d map with rows 'period,tier,price,quantity' varies the limit per period.  1-based integer tier.  quantity=inf marks an unbounded tail tier."
